Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day31,Chrome 67.0.3396.99,,2018-07-26 15:02:29,2018-07-26 15:02:39,9.627s,PASSED
,,,,,,
Test Cases/Day3/NewJenkins,Chrome 67.0.3396.99,,2018-07-26 15:02:29,2018-07-26 15:02:38,9.295s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:02:29,2018-07-26 15:02:32,2.814s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:02:32,2018-07-26 15:02:34,1.314s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:02:34,2018-07-26 15:02:34,0.741s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:02:34,2018-07-26 15:02:34,0.147s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:02:34,2018-07-26 15:02:35,0.319s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:02:35,2018-07-26 15:02:36,0.958s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:02:36,2018-07-26 15:02:36,0.137s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:02:36,2018-07-26 15:02:36,0.101s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:02:36,2018-07-26 15:02:37,0.951s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:02:37,2018-07-26 15:02:37,0.095s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:02:37,2018-07-26 15:02:38,0.801s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:02:38,2018-07-26 15:02:38,0.659s,PASSED
